model,run_type,tag,view,chem,n_seeds,seeds,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_mape_mean,test_mape_std,test_15_accuracy_mean,test_15_accuracy_std,test_10_accuracy_mean,test_10_accuracy_std,test_seen_mape_mean,test_seen_mape_std,test_unseen_mape_mean,test_unseen_mape_std,val_mape_mean,val_mape_std,val_15_accuracy_mean,val_15_accuracy_std
CPMLP,Pooled,drop0.05_wd1e-3,single-checkpoint,CALB,3,42 2021 2024,138.0191,40.0003,204.0315,89.7237,0.2347,0.0515,51.9546,13.6093,48.6663,15.9681,0.2607,0.0756,0.2216,0.1326,0.1184,0.0201,80.3381,3.6119
CPMLP,Pooled,drop0.05_wd1e-3,single-checkpoint,Li-ion,3,42 2021 2024,165.3421,7.4377,291.8903,11.7933,0.1997,0.011,56.6498,2.4057,42.8671,2.2465,0.1816,0.0119,0.2286,0.0134,0.2746,0.0215,57.5411,5.4515
CPMLP,Pooled,drop0.05_wd1e-3,single-checkpoint,Na-ion,3,42 2021 2024,56.8698,9.5184,69.0617,6.4241,0.3161,0.0727,18.4,11.9432,11.7333,7.3072,0.2526,0.0992,0.4114,0.0426,0.2519,0.1177,31.3333,23.6177
CPMLP,Pooled,drop0.05_wd1e-3,single-checkpoint,Zn-ion,3,42 2021 2024,243.5051,37.6058,378.1605,27.2567,0.7748,0.2553,16.9851,12.7364,10.0851,8.4213,0.7209,0.2509,0.9716,0.2197,0.7327,0.2267,17.7,8.7883
CPMLP,Pooled,drop0.1_wd1e-4,per-chem-best-val,CALB,3,42 2021 2024,125.9545,57.7525,193.3149,106.9732,0.2333,0.1016,58.8718,15.8477,54.309,17.9013,0.2585,0.1365,0.1901,0.0801,0.1066,0.0247,78.1967,14.9098
CPMLP,Pooled,drop0.1_wd1e-4,per-chem-best-val,Li-ion,3,42 2021 2024,166.7613,5.4659,290.6289,12.2022,0.1969,0.0108,56.6878,2.3068,41.4726,2.0938,0.1753,0.0123,0.2312,0.0084,0.2578,0.009,61.9177,0.889
CPMLP,Pooled,drop0.1_wd1e-4,per-chem-best-val,Na-ion,3,42 2021 2024,61.6046,11.0067,67.5402,6.5329,0.3981,0.0887,18.5333,15.2895,11.0667,13.8413,0.3393,0.123,0.4864,0.0411,0.2125,0.0732,43.8333,14.0324
CPMLP,Pooled,drop0.1_wd1e-4,per-chem-best-val,Zn-ion,3,42 2021 2024,256.8799,22.4309,359.9434,33.222,0.8981,0.1267,7.2333,3.3807,3.4904,2.5281,0.8297,0.168,1.0672,0.0859,0.822,0.1754,15.25,5.0562
CPMLP,Pooled,drop0.1_wd1e-4,single-checkpoint,CALB,3,42 2021 2024,126.2347,26.7939,190.98,54.048,0.2556,0.0543,55.7062,4.4582,43.7577,10.3748,0.2649,0.0921,0.2363,0.0843,0.1292,0.0131,75.1759,12.878
CPMLP,Pooled,drop0.1_wd1e-4,single-checkpoint,Li-ion,3,42 2021 2024,154.8621,3.8387,268.6667,7.9557,0.1996,0.0165,56.7489,3.6204,41.8776,4.0267,0.1862,0.0162,0.221,0.0192,0.2656,0.0086,60.5391,2.3681
CPMLP,Pooled,drop0.1_wd1e-4,single-checkpoint,Na-ion,3,42 2021 2024,59.6022,12.4606,72.0742,10.3546,0.3296,0.0755,24.9333,17.0664,14.5333,9.8689,0.2703,0.1108,0.4186,0.0499,0.2744,0.0967,24.6111,15.3914
CPMLP,Pooled,drop0.1_wd1e-4,single-checkpoint,Zn-ion,3,42 2021 2024,259.714,18.6189,368.6728,21.0493,0.8847,0.1455,8.3667,4.9574,4.707,4.2443,0.8393,0.1548,1.0111,0.1643,0.8246,0.1717,14.3333,4.5639
CPMLP,Pooled,geobins,per-chem-best-val,CALB,3,42 2021 2024,111.0456,68.6426,186.3068,152.5656,0.1211,0.0633,85.7098,15.4327,59.7987,16.2643,0.129,0.0964,0.1239,0.0105,0.0915,0.0301,86.719,8.0262
CPMLP,Pooled,geobins,per-chem-best-val,Li-ion,3,42 2021 2024,174.2458,6.2252,332.1933,15.8099,0.2018,0.0129,60.057,1.0149,44.1772,1.0922,0.1554,0.004,0.2756,0.027,0.2673,0.0034,56.0144,0.085
CPMLP,Pooled,geobins,per-chem-best-val,Na-ion,3,42 2021 2024,46.4611,5.7237,60.9867,2.2551,0.2574,0.0359,36.0667,5.4218,19.9333,16.2484,0.1591,0.0597,0.4049,0.0005,0.1837,0.0424,52.1667,15.6566
CPMLP,Pooled,geobins,per-chem-best-val,Zn-ion,3,42 2021 2024,205.4035,46.7773,376.2931,61.0984,0.4569,0.0833,28.2544,17.2716,22.5798,16.0863,0.4948,0.092,0.4264,0.2769,0.4314,0.0668,28.9667,6.4032
CPMLP,Pooled,geobins,single-checkpoint,CALB,3,42 2021 2024,106.8517,55.7221,145.9343,83.4433,0.1515,0.069,73.0238,23.8825,53.4265,23.644,0.1259,0.0603,0.2052,0.1164,0.1567,0.0344,72.7543,7.5729
CPMLP,Pooled,geobins,single-checkpoint,Li-ion,3,42 2021 2024,188.6303,10.6169,368.0177,20.6199,0.2159,0.0044,56.1034,1.3522,42.3755,1.3697,0.1638,0.0044,0.2985,0.0075,0.2911,0.0045,53.858,1.5198
CPMLP,Pooled,geobins,single-checkpoint,Na-ion,3,42 2021 2024,53.7095,13.1606,69.2701,9.26,0.282,0.0756,28.2667,14.9286,19.2,15.3606,0.2219,0.1121,0.3722,0.0467,0.2399,0.0423,26.5555,5.8773
CPMLP,Pooled,geobins,single-checkpoint,Zn-ion,3,42 2021 2024,207.5689,49.2779,377.9934,61.757,0.4644,0.0914,26.1044,19.6864,21.5465,17.2495,0.4947,0.0919,0.4477,0.2762,0.4349,0.071,28.7,6.7788
CPMLP,Pooled,geobins_late_mlpE0_quick,per-chem-best-val,CALB,1,2021,155.5656,0.0,235.9395,0.0,0.174,0.0,59.5573,0.0,59.5573,0.0,0.0832,0.0,0.5391,0.0,0.2233,0.0,39.4366,0.0
CPMLP,Pooled,geobins_late_mlpE0_quick,per-chem-best-val,Na-ion,1,2021,84.8306,0.0,131.9452,0.0,0.4545,0.0,3.0,0.0,3.0,0.0,0.449,0.0,0.4627,0.0,0.2723,0.0,15.3333,0.0
CPMLP,Pooled,geobins_late_mlpE0_quick,per-chem-best-val,Zn-ion,1,2021,234.4711,0.0,451.3602,0.0,0.4453,0.0,10.0,0.0,10.0,0.0,0.4668,0.0,0.3229,0.0,0.4933,0.0,15.0,0.0
CPMLP,Pooled,geobins_late_mlpE0_quick,single-checkpoint,CALB,1,2021,239.0979,0.0,383.4949,0.0,0.2647,0.0,58.1489,0.0,58.1489,0.0,0.1973,0.0,0.5358,0.0,0.2925,0.0,39.839,0.0
CPMLP,Pooled,geobins_late_mlpE0_quick,single-checkpoint,Na-ion,1,2021,84.8306,0.0,131.9452,0.0,0.4545,0.0,3.0,0.0,3.0,0.0,0.449,0.0,0.4627,0.0,0.2723,0.0,15.3333,0.0
CPMLP,Pooled,geobins_late_mlpE0_quick,single-checkpoint,Zn-ion,1,2021,239.535,0.0,458.8637,0.0,0.4919,0.0,9.95,0.0,9.9,0.0,0.5235,0.0,0.3128,0.0,0.5464,0.0,14.95,0.0
CPMLP,Pooled,geobins_late_mlpE16,per-chem-best-val,CALB,3,42 2021 2024,78.7668,23.5876,101.8555,37.8959,0.1046,0.0397,88.1269,14.5443,57.7196,18.8725,0.0878,0.0376,0.1451,0.0336,0.0852,0.0332,88.0616,10.0499
CPMLP,Pooled,geobins_late_mlpE16,per-chem-best-val,Li-ion,3,42 2021 2024,169.1346,13.0316,303.5778,36.9011,0.2039,0.0116,55.481,0.6508,41.9219,1.6931,0.1714,0.0038,0.2556,0.0247,0.2785,0.0077,55.2428,1.9088
CPMLP,Pooled,geobins_late_mlpE16,per-chem-best-val,Na-ion,3,42 2021 2024,50.6691,7.0252,64.7263,3.7442,0.2857,0.0393,30.2667,10.2298,24.6667,17.4488,0.2062,0.0655,0.4048,0.0005,0.2084,0.0063,46.4445,9.5183
CPMLP,Pooled,geobins_late_mlpE16,per-chem-best-val,Zn-ion,3,42 2021 2024,212.6767,60.9182,370.6198,79.0326,0.4926,0.1055,29.2518,9.153,22.1061,12.2655,0.5048,0.0956,0.4909,0.1719,0.462,0.0623,24.1833,11.2882
CPMLP,Pooled,geobins_late_mlpE16,single-checkpoint,CALB,3,42 2021 2024,92.8075,40.1991,124.0021,56.6178,0.1231,0.0585,77.5864,19.6394,55.238,22.095,0.0918,0.0369,0.185,0.0831,0.1133,0.0058,80.0686,5.8755
CPMLP,Pooled,geobins_late_mlpE16,single-checkpoint,Li-ion,3,42 2021 2024,180.5928,21.1776,331.389,45.6273,0.2077,0.0171,57.6561,2.474,42.7152,1.6679,0.1631,0.0088,0.2785,0.0317,0.292,0.0049,54.6749,0.996
CPMLP,Pooled,geobins_late_mlpE16,single-checkpoint,Na-ion,3,42 2021 2024,51.4094,7.9922,65.7401,4.9738,0.3001,0.0544,34.2667,6.1824,26.4,17.2727,0.2265,0.091,0.4104,0.0074,0.2234,0.0189,46.9445,8.9498
CPMLP,Pooled,geobins_late_mlpE16,single-checkpoint,Zn-ion,3,42 2021 2024,220.6809,35.5816,385.1441,45.4422,0.5966,0.0599,27.6175,6.6716,21.3026,10.6336,0.5902,0.0471,0.6749,0.2451,0.4738,0.0578,31.4833,3.7169
CPMLP,Pooled,geobins_late_mlpE16_quick,per-chem-best-val,CALB,1,2021,149.2545,0.0,219.6888,0.0,0.1685,0.0,59.9598,0.0,59.9598,0.0,0.0772,0.0,0.5358,0.0,0.2174,0.0,39.839,0.0
CPMLP,Pooled,geobins_late_mlpE16_quick,per-chem-best-val,Na-ion,1,2021,74.6822,0.0,80.6229,0.0,0.3956,0.0,0.0,0.0,0.0,0.0,0.3892,0.0,0.4052,0.0,0.2019,0.0,16.6667,0.0
CPMLP,Pooled,geobins_late_mlpE16_quick,per-chem-best-val,Zn-ion,1,2021,234.4711,0.0,451.3602,0.0,0.4453,0.0,10.0,0.0,10.0,0.0,0.4668,0.0,0.3229,0.0,0.4933,0.0,15.0,0.0
CPMLP,Pooled,geobins_late_mlpE16_quick,single-checkpoint,CALB,1,2021,149.2545,0.0,219.6888,0.0,0.1685,0.0,59.9598,0.0,59.9598,0.0,0.0772,0.0,0.5358,0.0,0.2174,0.0,39.839,0.0
CPMLP,Pooled,geobins_late_mlpE16_quick,single-checkpoint,Na-ion,1,2021,74.6822,0.0,80.6229,0.0,0.3956,0.0,0.0,0.0,0.0,0.0,0.3892,0.0,0.4052,0.0,0.2019,0.0,16.6667,0.0
CPMLP,Pooled,geobins_late_mlpE16_quick,single-checkpoint,Zn-ion,1,2021,234.4711,0.0,451.3602,0.0,0.4453,0.0,10.0,0.0,10.0,0.0,0.4668,0.0,0.3229,0.0,0.4933,0.0,15.0,0.0
CPMLP,Pooled,geobins_quick,per-chem-best-val,CALB,1,2021,68.1563,0.0,82.1548,0.0,0.1342,0.0,79.4769,0.0,59.5573,0.0,0.1339,0.0,0.1351,0.0,0.115,0.0,79.4769,0.0
CPMLP,Pooled,geobins_quick,per-chem-best-val,Na-ion,1,2021,74.3717,0.0,80.3726,0.0,0.3948,0.0,0.6,0.0,0.0,0.0,0.3869,0.0,0.4066,0.0,0.1939,0.0,21.6667,0.0
CPMLP,Pooled,geobins_quick,per-chem-best-val,Zn-ion,1,2021,213.8271,0.0,441.5264,0.0,0.3921,0.0,34.65,0.0,24.7,0.0,0.4241,0.0,0.2108,0.0,0.4758,0.0,14.95,0.0
CPMLP,Pooled,geobins_quick,single-checkpoint,CALB,1,2021,156.9897,0.0,222.0571,0.0,0.2576,0.0,40.4427,0.0,40.4427,0.0,0.1884,0.0,0.5358,0.0,0.1855,0.0,40.0402,0.0
CPMLP,Pooled,geobins_quick,single-checkpoint,Na-ion,1,2021,84.2187,0.0,130.6052,0.0,0.4582,0.0,0.0,0.0,0.0,0.0,0.4502,0.0,0.4701,0.0,0.257,0.0,16.5,0.0
CPMLP,Pooled,geobins_quick,single-checkpoint,Zn-ion,1,2021,213.8271,0.0,441.5264,0.0,0.3921,0.0,34.65,0.0,24.7,0.0,0.4241,0.0,0.2108,0.0,0.4758,0.0,14.95,0.0
CPMLP,Pooled,geobins_wd1e-3,per-chem-best-val,CALB,2,42 2021,134.8107,73.3033,244.0943,157.7853,0.1367,0.0727,81.8914,17.7062,59.7585,19.9196,0.1552,0.1089,0.131,0.0042,0.1125,0.0064,81.0866,1.2073
CPMLP,Pooled,geobins_wd1e-3,per-chem-best-val,Li-ion,2,42 2021,170.4816,3.9524,321.1669,3.192,0.193,0.0043,60.4905,0.9905,44.5506,1.1709,0.1527,0.0014,0.2571,0.0089,0.2659,0.0034,55.9907,0.0956
CPMLP,Pooled,geobins_wd1e-3,per-chem-best-val,Na-ion,2,42 2021,47.9505,6.5181,61.4994,2.6153,0.2693,0.0389,34.1,5.7,19.9,19.9,0.179,0.0645,0.4047,0.0005,0.1711,0.0471,61.5834,10.0834
CPMLP,Pooled,geobins_wd1e-3,per-chem-best-val,Zn-ion,2,42 2021,178.7562,33.9404,365.2464,72.3425,0.4129,0.0678,37.5566,13.7066,31.4447,12.3447,0.4297,0.0018,0.4412,0.3382,0.3928,0.0472,33.475,0.725
CPMLP,Pooled,geobins_wd1e-3,single-checkpoint,CALB,2,42 2021,122.453,62.6676,167.9487,94.8171,0.1477,0.0843,70.322,28.8732,50.7043,28.5714,0.0934,0.0477,0.2522,0.1171,0.1324,0.0033,70.825,8.6519
