model,run_type,tag,view,chem,n_seeds,seeds,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_mape_mean,test_mape_std,test_15_accuracy_mean,test_15_accuracy_std,test_10_accuracy_mean,test_10_accuracy_std,test_seen_mape_mean,test_seen_mape_std,test_unseen_mape_mean,test_unseen_mape_std,val_mape_mean,val_mape_std,val_15_accuracy_mean,val_15_accuracy_std
CPMLP,Pooled,late_mlpE16_quick,per-chem-best-val,Zn-ion,1,2021,281.2816,0.0,380.7119,0.0,1.144,0.0,7.45,0.0,2.85,0.0,1.1278,0.0,1.2358,0.0,1.0958,0.0,4.95,0.0
CPMLP,Pooled,late_mlpE16_quick,single-checkpoint,CALB,1,2021,248.0666,0.0,374.1561,0.0,0.4187,0.0,43.8632,0.0,43.2596,0.0,0.4452,0.0,0.3123,0.0,0.2851,0.0,61.3682,0.0
CPMLP,Pooled,late_mlpE16_quick,single-checkpoint,Na-ion,1,2021,70.1773,0.0,73.0417,0.0,0.442,0.0,1.2,0.0,0.8,0.0,0.4107,0.0,0.489,0.0,0.1321,0.0,62.6667,0.0
CPMLP,Pooled,late_mlpE16_quick,single-checkpoint,Zn-ion,1,2021,281.2816,0.0,380.7119,0.0,1.144,0.0,7.45,0.0,2.85,0.0,1.1278,0.0,1.2358,0.0,1.0958,0.0,4.95,0.0
CPMLP,Pooled,quick,per-chem-best-val,CALB,1,2021,162.5016,0.0,221.0478,0.0,0.2945,0.0,40.0402,0.0,38.833,0.0,0.2413,0.0,0.5085,0.0,0.1667,0.0,48.4909,0.0
CPMLP,Pooled,quick,per-chem-best-val,Na-ion,1,2021,65.6611,0.0,78.3978,0.0,0.4977,0.0,34.0,0.0,19.8,0.0,0.44,0.0,0.5842,0.0,0.1915,0.0,60.5,0.0
CPMLP,Pooled,quick,per-chem-best-val,Zn-ion,1,2021,274.2304,0.0,380.3276,0.0,1.0791,0.0,9.6,0.0,8.5,0.0,1.0756,0.0,1.0988,0.0,1.0207,0.0,9.75,0.0
CPMLP,Pooled,quick,single-checkpoint,CALB,1,2021,108.7478,0.0,190.1024,0.0,0.1642,0.0,71.6298,0.0,63.1791,0.0,0.0764,0.0,0.5172,0.0,0.1894,0.0,56.5392,0.0
CPMLP,Pooled,quick,single-checkpoint,Na-ion,1,2021,76.7183,0.0,90.447,0.0,0.3909,0.0,7.8,0.0,5.6,0.0,0.3853,0.0,0.3993,0.0,0.2487,0.0,21.6667,0.0
CPMLP,Pooled,quick,single-checkpoint,Zn-ion,1,2021,274.2304,0.0,380.3276,0.0,1.0791,0.0,9.6,0.0,8.5,0.0,1.0756,0.0,1.0988,0.0,1.0207,0.0,9.75,0.0
CPMLP,Pooled,wd1e-3,per-chem-best-val,CALB,3,42 2021 2024,100.096,14.9885,150.8096,25.7359,0.1793,0.0638,58.7366,14.1917,54.7762,14.1378,0.1523,0.0666,0.26,0.1378,0.0787,0.0167,80.4787,11.9465
CPMLP,Pooled,wd1e-3,per-chem-best-val,Li-ion,3,42 2021 2024,149.5437,3.6131,274.2293,1.4202,0.1767,0.005,61.2511,2.2849,46.9008,2.5705,0.152,0.0032,0.216,0.0079,0.2503,0.0059,63.998,0.6766
CPMLP,Pooled,wd1e-3,per-chem-best-val,Na-ion,3,42 2021 2024,54.9137,8.1677,62.74,4.7286,0.3529,0.057,21.3333,12.9185,13.7333,9.8215,0.2684,0.0893,0.4795,0.0298,0.1996,0.0822,54.0,21.2293
CPMLP,Pooled,wd1e-3,per-chem-best-val,Zn-ion,3,42 2021 2024,205.3256,11.3055,367.2013,17.9503,0.4963,0.051,22.1632,10.1085,16.0921,8.3695,0.4848,0.0473,0.5795,0.1752,0.492,0.0697,24.2167,8.6924
CPMLP,Pooled,wd1e-3,single-checkpoint,CALB,3,42 2021 2024,122.5181,33.8377,178.2794,36.2445,0.1825,0.0551,58.5336,15.9747,42.8941,16.9573,0.1436,0.0868,0.2742,0.0176,0.1147,0.0323,74.8448,17.7982
CPMLP,Pooled,wd1e-3,single-checkpoint,Li-ion,3,42 2021 2024,151.3225,3.2133,275.165,5.6661,0.1772,0.0051,61.4156,1.1215,45.4262,0.6455,0.1544,0.0043,0.2135,0.0198,0.2525,0.0043,62.6337,0.9354
CPMLP,Pooled,wd1e-3,single-checkpoint,Na-ion,3,42 2021 2024,54.8494,8.0801,63.1309,5.2806,0.3593,0.0649,24.6,8.6595,14.3333,8.9834,0.2736,0.0961,0.488,0.03,0.203,0.0778,52.5556,19.2008
CPMLP,Pooled,wd1e-3,single-checkpoint,Zn-ion,3,42 2021 2024,200.3919,13.7184,347.8707,24.769,0.5332,0.0505,22.4009,9.4405,15.7921,7.7764,0.5366,0.062,0.5354,0.0048,0.5057,0.0556,21.8667,4.5112
CPMLP,Pooled,wd1e-4,per-chem-best-val,CALB,3,42 2021 2024,100.096,14.9885,150.8096,25.7359,0.1793,0.0638,58.7366,14.1917,54.7762,14.1378,0.1523,0.0666,0.26,0.1378,0.0787,0.0167,80.4787,11.9465
CPMLP,Pooled,wd1e-4,per-chem-best-val,Li-ion,3,42 2021 2024,149.5437,3.6131,274.2293,1.4202,0.1767,0.005,61.2511,2.2849,46.9008,2.5705,0.152,0.0032,0.216,0.0079,0.2503,0.0059,63.998,0.6766
CPMLP,Pooled,wd1e-4,per-chem-best-val,Na-ion,3,42 2021 2024,54.9137,8.1677,62.74,4.7286,0.3529,0.057,21.3333,12.9185,13.7333,9.8215,0.2684,0.0893,0.4795,0.0298,0.1996,0.0822,54.0,21.2293
CPMLP,Pooled,wd1e-4,per-chem-best-val,Zn-ion,3,42 2021 2024,205.3256,11.3055,367.2013,17.9503,0.4963,0.051,22.1632,10.1085,16.0921,8.3695,0.4848,0.0473,0.5795,0.1752,0.492,0.0697,24.2167,8.6924
CPMLP,Pooled,wd1e-4,single-checkpoint,CALB,3,42 2021 2024,122.5181,33.8377,178.2794,36.2445,0.1825,0.0551,58.5336,15.9747,42.8941,16.9573,0.1436,0.0868,0.2742,0.0176,0.1147,0.0323,74.8448,17.7982
CPMLP,Pooled,wd1e-4,single-checkpoint,Li-ion,3,42 2021 2024,151.3225,3.2133,275.165,5.6661,0.1772,0.0051,61.4156,1.1215,45.4262,0.6455,0.1544,0.0043,0.2135,0.0198,0.2525,0.0043,62.6337,0.9354
CPMLP,Pooled,wd1e-4,single-checkpoint,Na-ion,3,42 2021 2024,54.8494,8.0801,63.1309,5.2806,0.3593,0.0649,24.6,8.6595,14.3333,8.9834,0.2736,0.0961,0.488,0.03,0.203,0.0778,52.5556,19.2008
CPMLP,Pooled,wd1e-4,single-checkpoint,Zn-ion,3,42 2021 2024,200.3919,13.7184,347.8707,24.769,0.5332,0.0505,22.4009,9.4405,15.7921,7.7764,0.5366,0.062,0.5354,0.0048,0.5057,0.0556,21.8667,4.5112
CPTransformer,Pooled,base,per-chem-best-val,CALB,3,42 2021 2024,140.0267,40.8913,194.4263,72.3438,0.2407,0.0851,52.6294,17.07,42.4955,14.1862,0.2527,0.1045,0.2612,0.1719,0.1398,0.0356,70.2109,13.3789
CPTransformer,Pooled,base,per-chem-best-val,Li-ion,3,42 2021 2024,158.334,3.9249,266.2689,8.3813,0.1909,0.0012,57.019,1.482,40.6245,3.1528,0.1701,0.0029,0.2238,0.0065,0.2635,0.0026,58.8889,1.6964
CPTransformer,Pooled,base,per-chem-best-val,Na-ion,3,42 2021 2024,65.2854,5.8724,74.2219,2.1995,0.402,0.0812,14.4667,11.4825,8.5333,8.7366,0.3789,0.0912,0.4367,0.0662,0.2475,0.0852,40.7222,15.6622
CPTransformer,Pooled,base,per-chem-best-val,Zn-ion,3,42 2021 2024,254.4301,23.2079,377.7712,15.7959,0.8121,0.1561,6.1596,1.7128,3.5184,1.4683,0.7832,0.1356,0.9226,0.2235,0.7588,0.1652,9.0167,5.6388
CPTransformer,Pooled,base,single-checkpoint,CALB,3,42 2021 2024,144.2121,57.8096,209.3467,76.1413,0.2169,0.0644,45.7146,11.9616,39.6109,18.635,0.2096,0.0909,0.2479,0.0355,0.1863,0.0398,61.2876,15.7899
CPTransformer,Pooled,base,single-checkpoint,Li-ion,3,42 2021 2024,156.8815,1.8883,263.5383,4.5351,0.1917,0.0018,56.27,1.6977,39.7405,3.0816,0.1732,0.0016,0.2209,0.004,0.2692,0.0055,58.5247,2.1405
CPTransformer,Pooled,base,single-checkpoint,Na-ion,3,42 2021 2024,62.2301,6.9245,73.6938,2.9749,0.3468,0.0625,16.1333,13.659,10.5333,9.4887,0.3185,0.0755,0.3892,0.0429,0.2764,0.1004,29.3333,19.8788
CPTransformer,Pooled,base,single-checkpoint,Zn-ion,3,42 2021 2024,267.7278,9.436,367.5315,18.4655,0.982,0.0571,9.5096,1.3836,6.0018,1.3802,0.9389,0.055,1.1182,0.1255,0.9096,0.1129,10.3167,4.8582
CPTransformer,Pooled,geobins,per-chem-best-val,CALB,3,42 2021 2024,72.9908,11.427,89.3578,21.2759,0.1289,0.0324,89.6043,9.5911,56.3111,14.5138,0.1355,0.0527,0.1182,0.0119,0.0773,0.0281,92.6224,9.1828
CPTransformer,Pooled,geobins,per-chem-best-val,Li-ion,3,42 2021 2024,175.5978,26.1489,334.1448,72.1235,0.2134,0.0316,58.8354,1.0,43.9895,0.9293,0.173,0.0098,0.2776,0.0669,0.2761,0.0094,56.2284,0.7888
CPTransformer,Pooled,geobins,per-chem-best-val,Na-ion,3,42 2021 2024,51.5807,13.0012,65.9691,9.2484,0.3079,0.1081,34.3333,8.0139,20.0,16.3299,0.212,0.1363,0.4517,0.0657,0.1741,0.0518,55.6111,20.8613
CPTransformer,Pooled,geobins,per-chem-best-val,Zn-ion,3,42 2021 2024,219.143,60.1233,386.6498,61.8466,0.5382,0.1392,24.8044,18.7533,20.6474,14.987,0.4977,0.0612,0.6538,0.3234,0.4181,0.0734,31.9833,8.7813
CPTransformer,Pooled,geobins,single-checkpoint,CALB,3,42 2021 2024,170.0697,135.4218,318.2977,279.2992,0.1874,0.1223,80.0717,16.8074,57.5854,16.4266,0.237,0.2045,0.1182,0.0119,0.1429,0.0557,77.5271,12.3245
CPTransformer,Pooled,geobins,single-checkpoint,Li-ion,3,42 2021 2024,199.5863,13.1901,382.6909,53.9136,0.2398,0.009,55.538,1.2166,41.3038,0.973,0.1889,0.0158,0.3208,0.0463,0.3131,0.0203,52.9527,2.2142
CPTransformer,Pooled,geobins,single-checkpoint,Na-ion,3,42 2021 2024,63.7991,20.5901,73.0214,16.0862,0.4058,0.1418,22.0667,13.6844,19.8667,16.2516,0.3422,0.1974,0.5012,0.0679,0.2327,0.0492,47.6667,11.2801
CPTransformer,Pooled,geobins,single-checkpoint,Zn-ion,3,42 2021 2024,248.978,26.1016,434.412,7.215,0.5849,0.0928,19.857,11.7829,16.1737,8.6603,0.533,0.0434,0.7324,0.2166,0.4226,0.0671,30.5333,6.7526
CPTransformer,Pooled,geobins_late_mlpE0_quick,per-chem-best-val,CALB,1,2021,60.3555,0.0,80.6437,0.0,0.0635,0.0,99.5976,0.0,79.6781,0.0,0.0456,0.0,0.1351,0.0,0.1551,0.0,79.6781,0.0
CPTransformer,Pooled,geobins_late_mlpE0_quick,per-chem-best-val,Na-ion,1,2021,72.3863,0.0,78.8706,0.0,0.3858,0.0,3.6,0.0,0.0,0.0,0.3728,0.0,0.4052,0.0,0.2024,0.0,16.6667,0.0
CPTransformer,Pooled,geobins_late_mlpE0_quick,per-chem-best-val,Zn-ion,1,2021,232.5591,0.0,451.0314,0.0,0.4426,0.0,10.0,0.0,10.0,0.0,0.4779,0.0,0.2428,0.0,0.5047,0.0,15.0,0.0
CPTransformer,Pooled,geobins_late_mlpE0_quick,single-checkpoint,CALB,1,2021,60.3555,0.0,80.6437,0.0,0.0635,0.0,99.5976,0.0,79.6781,0.0,0.0456,0.0,0.1351,0.0,0.1551,0.0,79.6781,0.0
CPTransformer,Pooled,geobins_late_mlpE0_quick,single-checkpoint,Na-ion,1,2021,72.3863,0.0,78.8706,0.0,0.3858,0.0,3.6,0.0,0.0,0.0,0.3728,0.0,0.4052,0.0,0.2024,0.0,16.6667,0.0
CPTransformer,Pooled,geobins_late_mlpE0_quick,single-checkpoint,Zn-ion,1,2021,237.1625,0.0,451.6522,0.0,0.4716,0.0,5.25,0.0,5.25,0.0,0.4779,0.0,0.4358,0.0,0.5521,0.0,15.0,0.0
CPTransformer,Pooled,geobins_late_mlpE16,per-chem-best-val,CALB,3,42 2021 2024,133.8212,90.4203,231.5725,179.9457,0.1603,0.0787,82.6962,18.6903,56.0428,14.3866,0.1893,0.1328,0.1182,0.0119,0.0903,0.0384,85.8484,10.0339
CPTransformer,Pooled,geobins_late_mlpE16,per-chem-best-val,Li-ion,3,42 2021 2024,184.5621,20.3113,355.2798,58.2722,0.2203,0.0279,54.7679,2.6642,40.6245,1.2387,0.1732,0.0113,0.2953,0.0546,0.2799,0.0065,53.965,0.6239
CPTransformer,Pooled,geobins_late_mlpE16,per-chem-best-val,Na-ion,3,42 2021 2024,49.0416,3.9427,68.4181,5.5897,0.2815,0.0222,33.5333,9.5782,26.6,18.8092,0.199,0.037,0.4052,0.0,0.1637,0.0589,65.3333,13.7901
CPTransformer,Pooled,geobins_late_mlpE16,per-chem-best-val,Zn-ion,3,42 2021 2024,220.1234,63.78,395.3081,55.8767,0.536,0.1287,33.2579,13.8546,23.5746,9.2292,0.4414,0.0262,0.7686,0.3202,0.408,0.1035,31.0333,9.2421
CPTransformer,Pooled,geobins_late_mlpE16,single-checkpoint,CALB,3,42 2021 2024,171.022,72.9175,299.0824,159.6571,0.2085,0.0584,74.3739,13.5703,49.0676,10.983,0.2508,0.0853,0.1216,0.0104,0.1469,0.0938,77.2624,15.8142
CPTransformer,Pooled,geobins_late_mlpE16,single-checkpoint,Li-ion,3,42 2021 2024,175.7174,14.3151,325.6019,22.6884,0.2091,0.0164,56.6182,3.1213,41.7827,2.4475,0.177,0.0129,0.2602,0.0221,0.2921,0.0058,53.7304,0.9923
CPTransformer,Pooled,geobins_late_mlpE16,single-checkpoint,Na-ion,3,42 2021 2024,49.1796,3.939,68.5121,5.5354,0.2825,0.0225,33.2667,9.3813,26.6,18.8092,0.2008,0.0375,0.4052,0.0,0.1813,0.0727,61.0555,15.7529
CPTransformer,Pooled,geobins_late_mlpE16,single-checkpoint,Zn-ion,3,42 2021 2024,230.8209,30.0303,413.9924,30.6702,0.7554,0.0563,31.4316,15.439,23.0737,10.2994,0.5256,0.1735,1.4962,0.5314,0.4862,0.1122,35.4167,4.7596
CPTransformer,Pooled,geobins_late_mlpE16_quick,per-chem-best-val,CALB,1,2021,104.5242,0.0,163.552,0.0,0.1798,0.0,68.4105,0.0,59.5573,0.0,0.1355,0.0,0.3577,0.0,0.1265,0.0,72.837,0.0
CPTransformer,Pooled,geobins_late_mlpE16_quick,per-chem-best-val,Na-ion,1,2021,74.6822,0.0,80.6229,0.0,0.3956,0.0,0.0,0.0,0.0,0.0,0.3892,0.0,0.4052,0.0,0.2019,0.0,16.6667,0.0
CPTransformer,Pooled,geobins_late_mlpE16_quick,per-chem-best-val,Zn-ion,1,2021,234.4711,0.0,451.3602,0.0,0.4453,0.0,10.0,0.0,10.0,0.0,0.4668,0.0,0.3229,0.0,0.4933,0.0,15.0,0.0
CPTransformer,Pooled,geobins_late_mlpE16_quick,single-checkpoint,CALB,1,2021,104.5242,0.0,163.552,0.0,0.1798,0.0,68.4105,0.0,59.5573,0.0,0.1355,0.0,0.3577,0.0,0.1265,0.0,72.837,0.0
CPTransformer,Pooled,geobins_late_mlpE16_quick,single-checkpoint,Na-ion,1,2021,74.6822,0.0,80.6229,0.0,0.3956,0.0,0.0,0.0,0.0,0.0,0.3892,0.0,0.4052,0.0,0.2019,0.0,16.6667,0.0
CPTransformer,Pooled,geobins_late_mlpE16_quick,single-checkpoint,Zn-ion,1,2021,232.6668,0.0,451.0376,0.0,0.4433,0.0,9.6,0.0,9.6,0.0,0.4779,0.0,0.2473,0.0,0.5047,0.0,15.0,0.0
CPTransformer,Pooled,geobins_quick,per-chem-best-val,CALB,1,2021,61.8695,0.0,89.0343,0.0,0.065,0.0,99.3964,0.0,79.4769,0.0,0.0475,0.0,0.1351,0.0,0.1566,0.0,79.4769,0.0
CPTransformer,Pooled,geobins_quick,per-chem-best-val,Na-ion,1,2021,72.3022,0.0,78.8706,0.0,0.3853,0.0,2.2,0.0,0.0,0.0,0.372,0.0,0.4052,0.0,0.1951,0.0,20.5,0.0
CPTransformer,Pooled,geobins_quick,per-chem-best-val,Zn-ion,1,2021,232.5591,0.0,451.0314,0.0,0.4426,0.0,10.0,0.0,10.0,0.0,0.4779,0.0,0.2428,0.0,0.5047,0.0,15.0,0.0
CPTransformer,Pooled,geobins_quick,single-checkpoint,CALB,1,2021,150.5852,0.0,222.7269,0.0,0.1705,0.0,59.7586,0.0,59.7586,0.0,0.0796,0.0,0.5358,0.0,0.2182,0.0,39.839,0.0
CPTransformer,Pooled,geobins_quick,single-checkpoint,Na-ion,1,2021,74.6822,0.0,80.6229,0.0,0.3956,0.0,0.0,0.0,0.0,0.0,0.3892,0.0,0.4052,0.0,0.2019,0.0,16.6667,0.0
CPTransformer,Pooled,geobins_quick,single-checkpoint,Zn-ion,1,2021,232.5591,0.0,451.0314,0.0,0.4426,0.0,10.0,0.0,10.0,0.0,0.4779,0.0,0.2428,0.0,0.5047,0.0,15.0,0.0
CPTransformer,Pooled,late_mlpE0_quick,per-chem-best-val,CALB,1,2021,90.8276,0.0,150.2923,0.0,0.1531,0.0,66.1972,0.0,63.7827,0.0,0.0915,0.0,0.4008,0.0,0.0879,0.0,78.2696,0.0
CPTransformer,Pooled,late_mlpE0_quick,per-chem-best-val,Na-ion,1,2021,65.2939,0.0,68.7083,0.0,0.4104,0.0,3.6,0.0,0.2,0.0,0.3694,0.0,0.4719,0.0,0.1024,0.0,75.5,0.0
CPTransformer,Pooled,late_mlpE0_quick,per-chem-best-val,Zn-ion,1,2021,252.4715,0.0,378.8869,0.0,0.9064,0.0,9.1,0.0,3.4,0.0,0.9134,0.0,0.8666,0.0,0.8805,0.0,7.05,0.0
CPTransformer,Pooled,late_mlpE0_quick,single-checkpoint,CALB,1,2021,90.8276,0.0,150.2923,0.0,0.1531,0.0,66.1972,0.0,63.7827,0.0,0.0915,0.0,0.4008,0.0,0.0879,0.0,78.2696,0.0
CPTransformer,Pooled,late_mlpE0_quick,single-checkpoint,Na-ion,1,2021,65.2939,0.0,68.7083,0.0,0.4104,0.0,3.6,0.0,0.2,0.0,0.3694,0.0,0.4719,0.0,0.1024,0.0,75.5,0.0
CPTransformer,Pooled,late_mlpE0_quick,single-checkpoint,Zn-ion,1,2021,252.4715,0.0,378.8869,0.0,0.9064,0.0,9.1,0.0,3.4,0.0,0.9134,0.0,0.8666,0.0,0.8805,0.0,7.05,0.0
CPTransformer,Pooled,late_mlpE16,per-chem-best-val,CALB,3,42 2021 2024,163.6837,44.1419,244.2313,86.0187,0.2285,0.0441,45.4442,8.3638,41.2165,9.8543,0.2108,0.1116,0.2761,0.0707,0.1151,0.0319,79.8032,14.4326
CPTransformer,Pooled,late_mlpE16,per-chem-best-val,Li-ion,3,42 2021 2024,168.371,2.4843,290.8931,7.5033,0.1967,0.0071,56.0591,0.7843,41.6245,2.5138,0.1776,0.0216,0.2272,0.0168,0.2591,0.0157,58.2119,1.6949
CPTransformer,Pooled,late_mlpE16,per-chem-best-val,Na-ion,3,42 2021 2024,51.6593,6.2898,61.4799,4.7252,0.3152,0.0507,28.4,9.7748,17.0667,9.4267,0.2296,0.0814,0.4436,0.0463,0.2046,0.0801,55.6667,15.7944
CPTransformer,Pooled,late_mlpE16,per-chem-best-val,Zn-ion,3,42 2021 2024,215.0049,34.1835,339.0494,17.2778,0.674,0.1654,17.5193,4.75,11.2693,3.2873,0.6734,0.1666,0.6977,0.1713,0.5724,0.1247,19.1167,8.1249
CPTransformer,Pooled,late_mlpE16,single-checkpoint,CALB,3,42 2021 2024,153.2459,40.1906,215.3297,61.509,0.2522,0.0408,41.218,11.8052,29.6042,14.6733,0.2431,0.0767,0.2575,0.0243,0.1329,0.0404,76.7135,14.0569
CPTransformer,Pooled,late_mlpE16,single-checkpoint,Li-ion,3,42 2021 2024,173.2846,8.0427,299.6369,19.9674,0.2141,0.012,55.2785,1.1717,39.0021,0.9164,0.1842,0.0109,0.2618,0.015,0.2767,0.0198,56.5946,1.7512
CPTransformer,Pooled,late_mlpE16,single-checkpoint,Na-ion,3,42 2021 2024,58.2615,9.106,70.4819,8.3775,0.3098,0.0379,20.2,10.554,11.9333,6.3694,0.2565,0.0707,0.3898,0.0262,0.2651,0.0663,29.2778,16.1282
CPTransformer,Pooled,late_mlpE16,single-checkpoint,Zn-ion,3,42 2021 2024,215.7829,35.1635,337.6734,17.0393,0.6997,0.2006,18.9026,2.8175,12.4193,2.079,0.6895,0.1873,0.7412,0.2298,0.5916,0.1517,20.35,6.3949
CPTransformer,Pooled,late_mlpE16_quick,per-chem-best-val,CALB,1,2021,125.5552,0.0,173.8458,0.0,0.2747,0.0,57.9477,0.0,56.338,0.0,0.2337,0.0,0.4395,0.0,0.063,0.0,94.9698,0.0
CPTransformer,Pooled,late_mlpE16_quick,per-chem-best-val,Na-ion,1,2021,69.6468,0.0,80.4826,0.0,0.3494,0.0,2.8,0.0,0.4,0.0,0.336,0.0,0.3695,0.0,0.1998,0.0,27.3333,0.0
CPTransformer,Pooled,late_mlpE16_quick,per-chem-best-val,Zn-ion,1,2021,257.5218,0.0,384.368,0.0,0.9386,0.0,5.0,0.0,5.0,0.0,0.9231,0.0,1.0263,0.0,0.9103,0.0,5.0,0.0
CPTransformer,Pooled,late_mlpE16_quick,single-checkpoint,CALB,1,2021,107.2082,0.0,152.7463,0.0,0.1486,0.0,68.2093,0.0,65.1911,0.0,0.0888,0.0,0.3888,0.0,0.1238,0.0,79.0744,0.0
CPTransformer,Pooled,late_mlpE16_quick,single-checkpoint,Na-ion,1,2021,69.6468,0.0,80.4826,0.0,0.3494,0.0,2.8,0.0,0.4,0.0,0.336,0.0,0.3695,0.0,0.1998,0.0,27.3333,0.0
CPTransformer,Pooled,late_mlpE16_quick,single-checkpoint,Zn-ion,1,2021,269.0775,0.0,378.7619,0.0,1.0366,0.0,9.15,0.0,3.7,0.0,1.043,0.0,1.0008,0.0,0.9847,0.0,9.6,0.0
CPTransformer,Pooled,quick,per-chem-best-val,CALB,1,2021,174.7524,0.0,250.0419,0.0,0.4789,0.0,52.9175,0.0,41.6499,0.0,0.4385,0.0,0.6409,0.0,0.1968,0.0,43.0584,0.0
CPTransformer,Pooled,quick,per-chem-best-val,Na-ion,1,2021,61.8417,0.0,70.122,0.0,0.4471,0.0,27.6,0.0,13.2,0.0,0.3889,0.0,0.5345,0.0,0.1421,0.0,67.8333,0.0
CPTransformer,Pooled,quick,per-chem-best-val,Zn-ion,1,2021,298.1262,0.0,385.8435,0.0,1.2791,0.0,9.6,0.0,8.9,0.0,1.2634,0.0,1.3685,0.0,1.2219,0.0,3.3,0.0
CPTransformer,Pooled,quick,single-checkpoint,CALB,1,2021,174.7524,0.0,250.0419,0.0,0.4789,0.0,52.9175,0.0,41.6499,0.0,0.4385,0.0,0.6409,0.0,0.1968,0.0,43.0584,0.0
CPTransformer,Pooled,quick,single-checkpoint,Na-ion,1,2021,61.8417,0.0,70.122,0.0,0.4471,0.0,27.6,0.0,13.2,0.0,0.3889,0.0,0.5345,0.0,0.1421,0.0,67.8333,0.0
CPTransformer,Pooled,quick,single-checkpoint,Zn-ion,1,2021,298.1262,0.0,385.8435,0.0,1.2791,0.0,9.6,0.0,8.9,0.0,1.2634,0.0,1.3685,0.0,1.2219,0.0,3.3,0.0
